url_path,views_total,views_unique
/maziggy/bambuddy,2979,1803
/maziggy/bambuddy/issues,761,245
/maziggy/bambuddy/releases,377,234
/maziggy/bambuddy/pulls,210,118
/maziggy/bambuddy/releases/tag/v1.2.5,194,151
/maziggy/bambuddy/releases/tag/v0.2.4.9,153,125
/maziggy/bambuddy/blob/main/docker-compose.yml,119,74
/maziggy/bambuddy/blob/main/slicer-api/README.md,90,57
/maziggy/bambuddy/tree/main,75,56
/maziggy/bambuddy/commits/main,70,14
