url_path,views_total,views_unique
/maziggy/bambuddy,3224,1925
/maziggy/bambuddy/issues,785,268
/maziggy/bambuddy/releases,443,265
/maziggy/bambuddy/pulls,234,128
/maziggy/bambuddy/releases/tag/v1.2.5,203,158
/maziggy/bambuddy/pull/2666,129,103
/maziggy/bambuddy/blob/main/docker-compose.yml,124,81
/maziggy/bambuddy/releases/tag/v0.2.4.9,115,94
/maziggy/bambuddy/releases/tag/v1.2.5.1,108,92
/maziggy/bambuddy/blob/main/slicer-api/README.md,94,57
