referrer,views_total,views_unique
bambuddy.cool,1024,525
Google,1022,468
github.com,697,199
wiki.bambuddy.cool,274,115
DuckDuckGo,166,63
Bing,73,38
hackaday.com,61,36
search.brave.com,58,26
teams.public.onecdn.static.microsoft,33,4
youtube.com,31,19
